Genes,M-Expression,S-Expression,G-Expression
Atp8b4,1,1,1
Slc7a2,1,0,0
Ostc,1,1,1
Snhg1,1,1,1
Ctnna3,1,0,0
Lsr,0,0,0
Smyd2,0,1,1
Was,1,1,1
Samsn1,1,1,1
Mak16,1,1,1
Srgap2,0,0,0
Pfkm,0,0,0
Usf3,0,0,0
Zhx1,0,0,0
Naip2,0,1,1
Car4,0,0,0
Pycard,1,1,1
Afg2b,1,1,1
Sned1,0,0,0
Hspa4l,1,0,0
Fam13c,0,0,0
Met,1,1,1
Usp10,1,1,1
Dnajc2,1,1,1
Cables1,0,0,0
Srsf2,1,1,1
Lynx1,0,0,0
Vcan,1,1,1
Dennd11,0,0,0
Snhg15,1,1,1
Lamb2,0,0,0
Eif4a1,1,1,1
Prcp,0,1,1
Esyt2,0,0,0
Kcnt1,1,0,0
Csf3r,1,1,1
Slfn8,1,1,1
Il18rap,1,1,1
Fry,0,0,0
Rhobtb1,0,0,0
Epm2a,0,0,0
Rpf2,1,1,1
Rmnd5a,0,0,0
Susd4,0,0,0
Atp6v0a1,0,0,0
Klf15,1,0,0
Tlr1,1,1,1
Eif5a,1,1,1
Msi2,0,0,0
Procr,1,1,1
Skap2,1,1,1
Cadm1,0,0,0
Mmd,0,0,0
Vstm4,1,0,0
Sos2,0,0,0
Msx1,0,0,0
Prpf31,1,1,1
Tma16,1,1,1
Tlr13,1,1,1
Atrnl1,1,1,0
Lypd1,0,0,0
Cabp1,1,0,0
Fcf1,1,1,1
Cct8,1,1,1
Nkd2,0,0,0
Omd,1,0,0
Aplp2,0,0,0
Sele,1,1,1
Pgd,1,1,1
Igf1,0,0,0
Ccp110,1,0,0
Rab32,1,1,1
Mkrn1,0,0,0
Jmjd6,1,1,1
Mmp3,1,1,1
Noc2l,1,1,1
Cpeb4,1,0,0
Naa10,0,1,1
2310022B05Rik,0,0,0
Prkce,1,0,0
Itgam,1,1,1
Pdlim3,1,0,0
Rpl7a,1,1,1
Abcc4,0,0,0
Igfbp7,1,1,1
Snrpa1,1,1,1
Itga2,1,1,1
Trappc14,1,1,1
Klf11,0,0,0
Dcdc2a,1,0,0
Mettl2,1,1,1
Apba1,0,0,0
Itprid2,0,0,0
Snrpd1,1,1,1
Clec3b,1,0,0
C1qtnf9,0,0,0
Rnf152,0,0,0
Syk,1,1,1
Prdx5,1,1,1
Nt5c2,0,0,0
2310061I04Rik,0,1,1
Dcaf13,1,1,1
Sybu,0,0,0
Snrnp70,1,1,1
Cyrib,1,1,1
Ddx41,1,1,1
Milr1,1,1,1
Scn2b,1,0,0
Coro1a,1,1,1
Vopp1,0,1,0
Lgmn,1,1,1
Wdr36,1,1,1
Ncoa2,0,0,0
Syne2,0,0,0
Gpr55,1,1,1
Rasl11b,1,0,0
Mcm5,0,1,1
Gar1,1,1,1
Sec11c,0,1,1
Mertk,1,0,0
Nr3c2,0,0,0
Myo9a,0,0,0
Oxr1,0,0,0
Runx3,1,1,1
Znrf3,0,0,0
Rasal2,0,0,0
Dstyk,0,0,0
Exoc3l,0,1,1
Rrs1,1,1,1
Tubb2a,1,1,0
Phc3,0,0,0
Tex30,1,1,1
Shmt1,1,1,1
Retnlg,1,1,1
Ranbp1,1,1,1
Ilf2,1,1,1
Atp2c1,0,0,0
Alcam,1,0,0
Dennd5a,0,0,0
Snhg5,1,1,1
Sgtb,0,0,0
Itga7,1,0,0
Etl4,0,0,0
Mib1,0,0,0
Grk3,1,0,0
Ro60,0,0,0
Egln1,0,0,0
Myo6,0,0,0
Mrps18b,1,1,1
Rcc2,0,1,1
Npy1r,1,0,0
9530053H05Rik,1,1,1
Cklf,1,1,1
Slc49a4,0,0,0
Thra,0,0,0
Aaas,0,1,1
Jade1,0,0,0
Oprl1,1,0,0
Sgpl1,1,1,1
Sorbs2,0,0,0
Tgfbi,1,1,1
Xrcc6,0,1,1
Cysltr2,1,0,0
Stxbp1,1,0,0
Cd38,1,1,1
Acacb,0,0,0
Ptpn18,0,1,1
Ppp2r1a,1,1,0
Mtus1,0,0,0
Btf3,1,1,1
Fam111a,1,1,1
Cramp1,0,0,0
Fbxo32,1,0,0
Anp32b,1,1,1
Dpy19l4,0,0,0
Gmfg,1,1,1
Cacna1a,0,0,0
Pygl,1,1,1
Ar,1,0,0
Ppat,1,1,1
Tmem64,0,0,0
Pstpip1,1,1,1
Dtymk,0,1,1
Wdr55,1,1,1
Ddx11,0,1,1
Rab11fip3,0,0,0
Epdr1,0,0,0
Abcc1,1,1,1
Steap2,1,0,0
2610035F20Rik,0,0,0
Spn,1,1,1
Qser1,0,0,0
Fam136a,0,1,1
Il2rb,1,1,1
Slc19a3,0,0,0
Adam15,0,1,0
Zbtb20,0,0,0
I830077J02Rik,1,1,1
Synpo2,0,0,0
Pik3r1,1,0,0
Slc11a1,1,1,1
Arhgap5,0,0,0
Atad3a,1,1,1
Atp13a4,1,0,0
Rac2,1,1,1
Cd28,0,0,1
Lrrc8d,1,1,1
Dctpp1,0,1,1
Tnrc6b,0,0,0
Rfx3,0,0,0
Thoc6,1,1,1
Aph1b,0,0,0
Nfat5,0,0,0
Lsg1,1,1,1
Cbx7,0,0,0
Snhg17,1,1,1
Heca,0,0,0
Nob1,1,1,1
Slfnlnc,1,1,1
